Player,Round,Exit Velocity (MPH),Distance (Ft.),Launch Angle
Vladimir Guerrero Jr.,3,100,379,34
Vladimir Guerrero Jr.,3,104,429,27
Vladimir Guerrero Jr.,3,102,437,30
Vladimir Guerrero Jr.,3,95,393,30
Vladimir Guerrero Jr.,3,102,426,24
Vladimir Guerrero Jr.,3,105,437,24
Vladimir Guerrero Jr.,3,108,458,24
Vladimir Guerrero Jr.,3,103,412,31
Vladimir Guerrero Jr.,3,108,441,22
Vladimir Guerrero Jr.,3,102,423,31
Vladimir Guerrero Jr.,3,101,405,34
Vladimir Guerrero Jr.,3,109,434,21
Vladimir Guerrero Jr.,3,107,459,25
Vladimir Guerrero Jr.,3,110,463,25
Vladimir Guerrero Jr.,3,103,439,23
Vladimir Guerrero Jr.,3,105,456,32
Vladimir Guerrero Jr.,3,104,433,23
Vladimir Guerrero Jr.,3,109,445,20
Vladimir Guerrero Jr.,3,109,407,19
Vladimir Guerrero Jr.,3,91,435,41
Vladimir Guerrero Jr.,3,108,463,23
Pete Alonso,3,112,429,21
Pete Alonso,3,104,396,20
Pete Alonso,3,100,408,35
Pete Alonso,3,102,373,26
Pete Alonso,3,111,390,19
Pete Alonso,3,108,452,29
Pete Alonso,3,109,458,26
Pete Alonso,3,112,384,21
Pete Alonso,3,112,415,21
Pete Alonso,3,108,418,21
Pete Alonso,3,107,419,36
Pete Alonso,3,111,430,23
Pete Alonso,3,113,434,22
Pete Alonso,3,105,419,33
Pete Alonso,3,113,459,27
Pete Alonso,3,107,408,38
Pete Alonso,3,101,402,26
Pete Alonso,3,111,435,22
Pete Alonso,3,109,431,31
Pete Alonso,3,107,434,32
Pete Alonso,3,107,434,35
Pete Alonso,3,108,438,28
Pete Alonso,3,106,407,34
Vladimir Guerrero Jr.,2,95,384,25
Vladimir Guerrero Jr.,2,106,400,35
Vladimir Guerrero Jr.,2,109,469,24
Vladimir Guerrero Jr.,2,108,457,22
Vladimir Guerrero Jr.,2,105,446,30
Vladimir Guerrero Jr.,2,105,440,28
Vladimir Guerrero Jr.,2,104,389,35
Vladimir Guerrero Jr.,2,112,488,26
Vladimir Guerrero Jr.,2,102,429,27
Vladimir Guerrero Jr.,2,105,422,28
Vladimir Guerrero Jr.,2,108,428,24
Vladimir Guerrero Jr.,2,104,419,22
Vladimir Guerrero Jr.,2,108,414,21
Vladimir Guerrero Jr.,2,104,439,28
Vladimir Guerrero Jr.,2,103,402,22
Vladimir Guerrero Jr.,2,102,395,22
Vladimir Guerrero Jr.,2,99,392,33
Vladimir Guerrero Jr.,2,108,439,18
Vladimir Guerrero Jr.,2,105,457,28
Vladimir Guerrero Jr.,2,99,378,37
Vladimir Guerrero Jr.,2,104,426,34
Vladimir Guerrero Jr.,2,101,398,33
Vladimir Guerrero Jr.,2,106,445,29
Vladimir Guerrero Jr.,2,111,468,20
Vladimir Guerrero Jr.,2,108,456,27
Vladimir Guerrero Jr.,2,99,406,29
Vladimir Guerrero Jr.,2,106,448,28
Vladimir Guerrero Jr.,2,108,447,23
Vladimir Guerrero Jr.,2,99,381,33
Vladimir Guerrero Jr.,2,104,429,29
